tweet,label,id,preprocessed_text
"President Joe Biden has told US states to make all adults eligible for a coronavirus vaccine by 1 May and urged Americans to stay vigilant or face more restrictions, hours after he signed a $1.9 trillion stimulus bill into law. https://t.co/knZWqaYDrp",0,261,president joe biden told us states make adults eligible coronavirus vaccine 1 may urged americans stay vigilant face restrictions hours signed trillion stimulus bill law https
"March 13, 2020 much of the world shut down in response to the #COVID19 outbreak. One year since, vaccines have rolled out and @UPS is on the frontlines. https://t.co/brQlcYA8N1 https://t.co/83H1NbA03X",0,262,march 13 2020 much world shut response covid19 outbreak one year since vaccines rolled ups frontline https https
"In just over a month, CVS and other chains have greatly expanded access to vaccines through the Federal Retail Pharmacy program. Initially with 11 states, CVS is now administering vaccines in nearly 1,200 stores across 29 states. (h/t @KateSullivanDC) https://t.co/0hTqW3txI6 https://t.co/QFKLxg5lsn",0,263,month cvs chains greatly expanded access vaccines federal retail pharmacy program initially 11 states cvs administering vaccines nearly stores across 29 states katesullivandc https https
Here's the latest update on vaccines and COVID cases in York Region. One of the messages that I did not get into the story: vaccinated seniors must be reminded they are not protected until 2 weeks AFTER they get - &amp; they still need to be cautious https://t.co/W7dsBUXbkx,0,264,latest update vaccines covid cases york region one messages get story fascinated seniors must reminded protected 2 weeks get amp still need cautious https
"100,000 Doses of Cuban Vaccine Against COVID-19 Arrive in Iran. Iran and Cuba are developing jointly one of the vaccines against COVID-19, despite the unilateral sanctions applied on both countries by the U.S. #Soberana https://t.co/ZHB6vJihxC",0,265,doses cuban vaccine arrive iran iran cuba developing jointly one vaccines despite unilateral sanctions applied countries soberana https
"McDonald’s Philippines purchased close to 100,000 COVID-19 vaccine doses in its continued commitment to the health and safety of its people. https://t.co/LvNTU5sEnK https://t.co/hYeuVyWSat",0,266,mcdonald philippines purchased close vaccine doses continued commitment health safety people https https
"MARIETTA — Marietta City Schools helped administer COVID-19 vaccines to teachers and other staff Thursday, some of the first since educators under 65 became eligible for vaccination in Georgia. https://t.co/yA5QJMm5Rm",0,267,marietta marietta city schools helped administer vaccines teachers staff thursday first since educators 65 became eligible vaccination georgia https
BREAKING NEWS: Simpson announced Hy-Vee Pharmacy will be providing a limited amount of COVID-19 vaccines on campus March 19 for anyone 18 years and older with certain pre-existing condition listed by the CDC. Students can to email Health Services if they think qualify.,0,268,breaking news simpson announced pharmacy providing limited amount vaccines campus march 19 anyone 18 years older certain condition listed cdc students email health services think qualify
"Thanks to Senator @ossoff and @senatorwarnock's leadership, $84 million is heading directly to Augusta/Richmond County to support frontline workers, maintain vital public services, and get vaccines into the community to defeat COVID-19. #GAPol https://t.co/DlfGnzDMiv",0,269,thanks senator ossoff senatorwarnock leadership 84 million heading directly county support frontline workers maintain vital public services get vaccines community defeat gaol https
"In addition to 7.5 billion, 6 billion for “research, development, manufacturing, production, and the purchase of vaccines (1) SARS–CoV–2 or any viral variant mutating therefrom with pandemic potential; and (2) COVID–19 or any disease with potential for creating a pandemic.",0,270,addition billion 6 billion research development manufacturing production purchase vaccines 1 viral variant stating therefore pandemic potential 2 disease potential creating pandemic
"With each passing day, more COVID-19 vaccines become available in Minnesota. Who's eligible now, how to find appointments, how much it costs, and more answers to your questions. https://t.co/Eaz7Yvml6g https://t.co/sBuOytCWyL",0,271,passing day vaccines become available minnesota eligible find appointments much costs answers questions https https
Logistics supply chains have delivered. More than 300 million vaccine doses have been distributed and administered. . . . #vaccine #logistics #transportation #covid_19 #covid #freight #CovidVaccine https://t.co/yDOnoR3vef,0,272,logistics supply chains delivered 300 million vaccine doses distributed vaccine logistics transportation covid freight covidvaccine https
China offers to supply COVID-19 vaccines to Olympic athletes In 2021 Tokyo and 2022 Beijing games https://t.co/O3XVnW6uBj,0,273,china offers supply vaccines olympic athletes 2021 tokyo 2022 beijing games https
"Women's History Spotlight: Dr. Kizzmekia Corbett, Lead Scientist of Coronavirus Vaccine Program at National Institute of Health (NIH) Dr. Corbett worked to develop Moderna’s #COVID-19 vaccine. She worked on vaccines for coronaviridae since 2014, studying SARS and MERS. #WHM https://t.co/Yrwim5akXt",0,274,women history spotlight kizzmekia correct lead scientist coronavirus vaccine program national institute health nih correct worked develop modern vaccine worked vaccines coronaviridae since 2014 studying says ers who https
A World Trade Organization (WTO) council is discussing a proposal by India and South Africa that COVID-19 vaccine and other medical patents be suspended to speed up technology transfers to manufacturers with spare production capacity. https://t.co/rNDexZNkeq,0,275,world trade organization to council discussing proposal india south africa vaccine medical patents suspended speed technology transfers manufacturers spare production capacity https
"Initial doses of Sinovac and AstraZeneca COVID-19 vaccines have arrived in Rizal Provincial Hospital System (RPHS) Binangonan Annex, the official page of the Rizal Provincial Government has announced this Wednesday afternoon. (1/3) https://t.co/L6yvnOZ9bR",0,276,initial doses sinovac astrazeneca vaccines arrived rival provincial hospital system phs binangonan annex official page rival provincial government announced wednesday afternoon https
"According to Kaspersky researchers, unverified COVID-19 vaccines including three major COVID-19 vaccines, Pfizer/BioNTech, AstraZeneca and Moderna, are beginning to make sales on darknet between $250 and $1,200 with crypto currency. Read more &gt;&gt;&gt;&gt;https://t.co/Jos5bLJIfJ https://t.co/iKJODQwNqI",1,277,according kaspersky researchers unverified vaccines including three major vaccines astrazeneca modern beginning make sales market 250 crypto currency read gt gt gt gt https https
"Took my first dose of the COVID-19 vaccine Remarkable how our doctors and scientists have worked in quick time to strengthen the global fight against COVID-19. I appeal to all those who are eligible to take the vaccine. Together, let us make India COVID free! #CovidVaccine https://t.co/f0m71t5mNx",0,278,took first dose vaccine remarkable doctors scientists worked quick time strengthen global fight appeal eligible take vaccine together let us make india covid free covidvaccine https
India continues to deliver on its promise to help the world fight COVID-19 through supply of #MadeInIndia vaccines. Please watch a short video on #VaccineMaitri with our friends and partners. #IndiaNepalFriendship @MEAIndia @PMOIndia https://t.co/l8KZ9Tkf1x,0,279,india continues deliver promise help world fight supply madeinindia vaccines please watch short video vaccinemaitri friends partners indianepalfriendship dnaindia pmoindia https
Drs. Deborah Fuller and Ali Mokdad @UWMedicine @IHME_UW say #COVID19 vaccines are working to help us get back to normal and reducing hospitalizations and deaths. We encourage everyone to get the vaccine when eligible. @TammyKOMO @AliHMokdad @FullerLab_UW https://t.co/GsRn28IFhR,0,280,drs deborah fuller ali monday medicine say covid19 vaccines working help us get back normal reducing hospitalization deaths encourage everyone get vaccine eligible tammykomo alihmokdad https
Trump is an idiot. Vaccine research for COVID type viruses began before he was president. The COVID19 triggered the speed to do large trials and thus perfecting vaccines for distribution. THANKS OBAMA. https://t.co/pRvwoB4bxE,1,281,trump idiot vaccine research covid type viruses began president covid19 triggered speed large trials thus perfection vaccines distribution thanks obama https
Misleading posts attempt to link COVID-19 vaccines to miscarriages based on US health incident reports. But those reports are unverified and don't prove causality even if real #CoronaVirusFacts https://t.co/b2QPxnjUEU,0,282,misleading posts attempt link vaccines miscarriage based us health incident reports reports unverified prove causality even real coronavirusfacts https
"In hopes of combatting misinformation about the COVID-19 vaccines, health care workers and public health advocates are using social media platforms to raise awareness and encourage people to receive vaccinations. https://t.co/AZme95fyvG",0,283,hopes combating misinformation vaccines health care workers public health advocates using social media platforms raise awareness encourage people receive vaccination https
"With spring and COVID-19 vaccines within sight, Hungarian confectioner Laszlo Rimoczi is sending a message of hope for Easter by creating chocolate bunnies holding vaccine syringes. https://t.co/Zjzqq1CdYD",0,284,spring vaccines within sight hungarian confectionery lastly rimoczi sending message hope easter creating chocolate bundles holding vaccine syringe https
•Only the Ministry of Health and the Ghana Health Service have the mandate to import and deploy the 2 vaccines. •INTERPOL issues global alert that vaccines would be a prime target for criminal networks. https://t.co/broJ4SRgwY,0,285,ministry health ghana health service mandate import deploy 2 vaccines issues global alert vaccines would prime target criminal networks https
@fdaghana update on COVID-19 vaccines •Do not purchase COVID-19 vaccines online. •Fake COVID-19 vaccines seized in South Africa. •Ghana has approved 2 COVID-19 vaccines (Sputnik V and Oxford-AstraZeneca / Covishield). More here: https://t.co/broJ4SRgwY,0,286,fdaghana update vaccines purchase vaccines online vaccines seized south africa approved 2 vaccines sputnik v covishield https
"I’m glad to see that Washington has started making teachers a priority for vaccines. I’ve been calling for this move since the beginning of January, and repeating it since. We need to get our kids back in the classrooms as soon as possible. https://t.co/4mN8K6Jpo9",0,287,glad see washington started making teachers priority vaccines calling move since beginning january repeating since need get kids back classrooms soon possible https
Vaccinations are essential to ending the COVID-19 pandemic and setting the stage for a strong recovery. We are pleased to join this effort to provide families across the state with all of the information they need as vaccines become more widely available. #ImaBigShot https://t.co/2862ne00O2,0,288,vaccination essential ending pandemic setting stage strong recovery pleased join effort provide families across state information need vaccines become widely available imabigshot https
Covid 19 vaccines in Nigeria are for politicians and their wives,1,289,covid 19 vaccines nigeria politicians wives
"Tanzania’s president, John Magufuli, denied Covid-19 for months. Threatened health workers on reporting any Covid related death. Doubted the effectiveness of the Vaccines and didn’t bother to bid for it. Now he is reportedly down with COVID and receiving treatments in Kenya.",1,290,tanzania president john magufuli denied months threatened health workers reporting covid related death doubted effectiveness vaccines bother bid reportedly covid receiving treatments kenya
"Just like other medicines or vaccines, COVID-19 vaccines may have side effects most of which are minor and go away after a day or two. Report all side effects you or a loved one may experience to the FDA using the links below. https://t.co/utkTGmTkQD https://t.co/NUtexTrYbh",0,291,like medicines vaccines vaccines may side effects minor go away day two report side effects loved one may experience fda using links https https
"Instagram’s algorithm is suggesting posts that tout false claims about #COVID19, vaccines, and the US election, according to a study by the UK-based Center for Countering Digital Hate. https://t.co/88XJ6uMW4T",1,292,instagram algorithm suggesting posts tout false claims covid19 vaccines us election according study center countering digital hate https
"No need to routinely check antibodies after COVID vaccination. A vaccinated person is very likely to get a negative result from a serology test, even if the vaccine was successful and protective - Dr Rachel West, Immunologist at Johns Hopkins. 1/9 https://t.co/hZEpfzkpZd",0,293,need routinely check antibodies covid vaccination fascinated person likely get negative result geology test even vaccine successful protective dr rachel west immunologist johns hopkins https
"Zimbabwe has authorised the emergency use of four COVID-19 vaccines, including Russia's Sputnik V and China's Sinovac, the minister of information said on Tuesday.​ https://t.co/hPrg9dlL9m",0,294,zimbabwe authorised emergency use four vaccines including russia sputnik v china sinovac minister information said https
"The Catholic Church notes that it is licit and ethically acceptable to receive all COVID-19 vaccines that the Ministry of Health recognizes as clinically genuine, safe and effective. #KickCOVIDoutOfKenya https://t.co/XyYWCwIfvv",0,295,catholic church notes limit ethically acceptable receive vaccines ministry health recognizes clinically genuine safe effective kickcovidoutofkenya https
Cabinet yesterday approved the start of the second phase of #COVID19Vaccination exercise and urged companies intending to buy vaccines for their employees to procure only those that are registered in #Zimbabwe @MoHCCZim https://t.co/SPP7GhZI30,0,296,cabinet yesterday approved start second phase covid19vaccination exercise urged companies intending buy vaccines employees procure registered zimbabwe mohcczim https
"Alaskans 16 and older are now eligible for COVID-19 vaccines! Thank you to our tribal partners, first-responders and health care workers for making this possible. Visit https://t.co/vJbhf9rSF1 or call 907-646-3322 to sign-up. https://t.co/ekZYH12O3K #akleg #akgov",0,297,alaska 16 older eligible vaccines thank tribal partners health care workers making possible visit https call https able ago
"As of 6 am this morning, the US has administered 93,692,598 doses of COVID-19 vaccines and distributed 123,232,775 doses That’s more than 3 times the number of confirmed US cases Biden promised 100 million vaccination in 100 days - it’s only been 7 weeks https://t.co/QccQakhJe1",0,298,6 morning us administered doses vaccines distributed doses 3 times number confirmed us cases biden promised 100 million vaccination 100 days 7 weeks https
"AstraZeneca vaccinations have started today in the ACT with Canberra’s @nick_coatsworth. My wife, who is also a doctor, got the Pfizer and I got the AstraZeneca. They are both great vaccines,” said Nick. Stay up to date with the vaccine rollout at https://t.co/HJfCg0SW1N https://t.co/N7qOCWWcDo",0,299,astrazeneca vaccination started today act canberra wife also doctor got prize got astrazeneca great vaccines said nick stay date vaccine rollout https https
Vaccines now available to people 16 and older with certain health conditions and to staff of congregate living facilities. The expansion comes on the one-year anniversary of Louisiana’s first confirmed COVID-19 case. https://t.co/417f5DqF7b via @WesleySMuller,0,300,vaccines available people 16 older certain health conditions staff congregate living facilities expansion comes anniversary louisiana first confirmed case https via wesleysmuller
"Just a friendly reminder that first-dose appointments are still available this week at L.A. City-run sites. Eligible groups include: education/childcare, emergency services, food/agriculture, people 65+ and healthcare workers. Schedule your vaccine at https://t.co/hrQOI69asb.",0,301,friendly reminder appointments still available week sites eligible groups include emergency services people healthcare workers schedule vaccine https
"The Prince of Wales and Duchess of Cornwall visit to Skipton House, London, where they met NHS and MOD staff involved in the vaccine rollout. Also viewing the first ever vials of the Pfizer-BioNTech and Oxford/Astra Zeneca Covid-19 vaccines. https://t.co/kMI8o6q4gj",0,302,prince wales duchess cornwall visit skipton house london met nhs mod staff involved vaccine rollout also viewing first ever dials genera vaccines https
"To ensure all eligible patients receive their #COVIDVaccine, @ontariosdoctors continue to advocate with @ongov for expanded #PrimaryCare vaccine rollout across the province. https://t.co/cgVC5SzCB8 #ONhealth #VaccinesWork https://t.co/jaQZhw0xwm",0,303,ensure eligible patients receive covidvaccine ontariosdoctors continue advocate onto expanded primarycare vaccine rollout across province https health vaccineswork https
The only way to get back to normal life is if the whole world gets vaccinated against Covid-19. Today I got myself vaccinated and I would request everybody to find out the availability of vaccines in your country and get vaccinated as soon as possible. https://t.co/WWoK5NSiln,0,304,way get back normal life whole world gets fascinated today got fascinated would request everybody find availability vaccines country get fascinated soon possible https
"While we are very confident that vaccine is very effective, and prevents particularly severe illness and death, it doesn't necessarily mean that all transmission will be stopped. https://t.co/VfAlheQQ3l",0,305,confident vaccine effective prevents particularly severe illness death necessarily mean transmission stopped https
MK Stalin and Thol Thirumavalavan receive COVID-19 vaccines in Chennai https://t.co/6SB7z7iU13,0,306,mk stain tool thirumavalavan receive vaccines chennai https
"The Ministry of Health has mobilized all resources to ensure utmost safety as Vietnam continues COVID-19 vaccinations. Using AstraZeneca vaccines, Vietnam inoculated some 250 medical workers in Hanoi, Ho Chi Minh City and Hai Duong yesterday, March 8. https://t.co/0FIKnLJkJK",0,307,ministry health mobilized resources ensure utmost safety vietnam continues vaccination using astrazeneca vaccines vietnam insulated 250 medical workers hand ho chi min city hai dong yesterday march https
"The Philippines eyes to acquire around 20 million doses of Covid-19 vaccines by the second quarter of this year, @ntfcovid19ph Chief Implementer and vaccine czar Carlito Galvez Jr. said. https://t.co/sBZkvFMZkS",0,308,philippines eyes acquire around 20 million doses vaccines second quarter year ntfcovid19ph chief implemented vaccine czar carlo gave said https
"Over 12 million COVAX Vaccines have now reached 19 countries in Africa, including Uganda, Kenya, and Rwanda. These life-saving vaccines will protect the most vulnerable (including the elderly and people with medical conditions) from Covid-19 #COVID19 #COVAX",0,309,12 million cover vaccines reached 19 countries africa including uganda kenya rwanda vaccines protect vulnerable including elderly people medical conditions covid19 cover
All 34 public health units now have publicly accessible vaccine plans. You can read the full analysis and expert opinion on the plans here: https://t.co/jKpNETRdZ0,0,310,34 public health units publicly accessible vaccine plans read full analysis expert opinion plans https
"🥲...I'm up next!! Ohio expands COVID-19 vaccines to 50 and older, those with Type 2 diabetes, end-stage renal disease https://t.co/GyhF5u5CAF via @enquirer",0,311,next ohio expands vaccines 50 older type 2 diabetes renal disease https via inquirer
Oklahoma to open COVID-19 vaccines to Phase 3 participants. That includes college students and those deemed as critical infrastructure employees.,0,312,oklahoma open vaccines phase 3 participants includes college students deemed critical infrastructure employees
"....While the vaccines are highly effective at preventing serious illness and death, there is not yet sufficient evidence on whether vaccinated people may still transmit the virus to others. https://t.co/yavIlFan8V",0,313,vaccines highly effective preventing serious illness death yet sufficient evidence whether fascinated people may still transmit virus others https
"“All three of them are well over 95%, approaching 99%, effective in preventing hospitalization, serious disease and death,” @UNLVmedicine's Dr. Michael Gardner said of the COVID-19 vaccines. https://t.co/q8N1aCLFmI",0,314,three well 95 approaching 99 effective preventing hospitalization serious disease death unlvmedicine michael gardner said vaccines https
"Bravo Ontario!! Deciding to target Long Term Care homes for the first COVID-19 vaccines substantially reduced infections, hospitalizations, &amp; deaths among LTC residents and health care workers. #COVID19Ontario https://t.co/1BVhNiRz76",0,315,bravo ontario deciding target long term care homes first vaccines substantially reduced infections hospitalization amp deaths among lt residents health care workers covid19ontario https
"Starting today, Michigan residents 50+ w/ disabilities, pre-existing medical conditions, caregivers of kids with special needs are eligible for COVID-19 vaccine https://t.co/4eZl4xG0cS https://t.co/wgS6RzeHBk",0,316,starting today michigan residents disabilities medical conditions caregivers kids special needs eligible vaccine https https
"🇦🇺 is supporting access to safe and effective COVID-19 vaccines, which will help Indonesia reopen and recover - with a $80 million contribution to #COVAX and a further $101.9 million to support vaccine access and health security in 🇮🇩 https://t.co/yyoWWnU7Xc",0,317,supporting access safe effective vaccines help indonesia reopen recover 80 million contribution cover million support vaccine access health security https
"Despite approved vaccines going through guidelines and approval processes by the @WHO and the U.S. Center for Disease Control and Prevention (@CDCgov), @dino_melaye had, on numerous occasions on the social media, expressed doubts about vaccines. https://t.co/3Oacjre8yc",1,318,despite approved vaccines going guidelines approval processes center disease control prevention cdcgov numerous occasions social media expressed doubts vaccines https
"Public health experts feared that Johnson &amp; Johnson's single coronavirus shot could be seen as inferior to the two other approved vaccines. But its ""one and done"" advantage is ideal for reaching vulnerable populations. https://t.co/FXq2kfObvM",0,319,public health experts feared johnson amp johnson single coronavirus shot could seen inferior two approved vaccines one done advantage ideal reaching vulnerable populations https
#ICYMI - Ontarians 80 and older can start booking their COVID-19 vaccines starting March 15. https://t.co/yCO17NwXZH #COVID19 #Covid19Ontario #seniors #CovidVaccine #onpoli #onthealth https://t.co/KxKnfKRPr1,0,320,ichi ontarians 80 older start booking vaccines starting march https covid19 covid19ontario seniors covidvaccine poli onthealth https
"I've been saying this to Forrester clients and stakeholders for about six months. &gt;&gt; Russians Mount Campaign Against Vaccines, U.S. Says https://t.co/bNhbbOBHY4",1,321,saying forester clients stakeholders six months gt gt russian mount campaign vaccines says https
"Russia is trying to kill as many Americans as possible through Bounty-gate and the spread of misinformation of our vaccines. But get this, the dayum Republican party is helping him! https://t.co/8Xz3xRvR2q",1,322,russia trying kill many americans possible spread misinformation vaccines get datum republican party helping https
"One Year Into Pandemic, Virginia Has Recorded 585,700 COVID-19 Cases, 24,661 Hospitalizations, 9,596 Deaths, 2.3 Million Vaccines (We seem to be on the downswing, with about 54,000 vaccines per day and the lowest 10-day new COVID cases since 11/13) https://t.co/B2MeqBb6GW",0,323,one year pandemic virginia recorded cases hospitalization deaths million vaccines seem downing vaccines per day lowest new covid cases since https
"With the COVAX facility WHO and partners are committed to ensuring equitable access to all countries. Equity in vaccines, diagnostics and therapeutics is the moral imperative of our times. @PandavRajesh https://t.co/diA7uhztmH via @kathmandupost",0,324,cover facility partners committed ensuring equitable access countries equity vaccines diagnostics therapeutics moral imperative times pandavrajesh https via kathmandupost
".@JoelEmbiid is donating $100,000 to Philadelphia homeless shelters. — 15,000 meals — 4,000 essential clothing items — essential needs for 300+ teens and funds for summer camp — treatment of 1,000 people receiving COVID-19 vaccines  “I will continue to help in any way I can.” https://t.co/vVrPDuJLHg",0,325,joelembiid donating philadelphia homeless shelters meals essential clothing items essential needs teens funds summer camp treatment people receiving vaccines continue help way https
"COVID-19 vaccines are now available to West Virginia residents ages 50+, education workers age 40-50, and ages 16+ with certain medical conditions. Register at https://t.co/DMGwRw1FAo. #CommunityImmunityWV https://t.co/7aLk3CCk5X",0,326,vaccines available west virginia residents ages education workers age ages certain medical conditions register https communityimmunitywv https
"Safe #vaccines are critical to fighting diseases, from #polio to #COVID-19 and evidence shows that the protection provided by vaccines currently licensed in the US outweighs any potential risks https://t.co/jihp6ZhvqV via @USGAO https://t.co/cxksIQmRSH",0,327,safe vaccines critical fighting diseases polio evidence shows protection provided vaccines currently licensed us outweighs potential risks https via usao https
This is what leadership and preparedness looks like 👇🏿 Ghana becomes first country to deliver coronavirus vaccines via drone https://t.co/f0q1DOr9ZD via @BusinessInsider,0,328,leadership preparedness looks like ghana becomes first country deliver coronavirus vaccines via drone https via businessinsider
First Johnson &amp; Johnson Vaccine Administered: DOH has begun administering Johnson &amp; Johnson COVID-19 vaccines in Hawaii. The first shipment of the vaccine arrived on Wednesday and was given to hundreds of DOE employees today in Kaneohe. To read more: https://t.co/vEdwr9UkvS,0,329,first johnson amp johnson vaccine administered doh begun administering johnson amp johnson vaccines hawaii first shipment vaccine arrived wednesday given hundreds doe employees today kaneohe read https
"All COVID-19 vaccines are safe and effective. With the recent authorization of the Johnson &amp; Johnson single-shot vaccine, we have yet another tool (along with the Moderna and Pfizer BioNTech vaccines) to help stop the spread of the virus. Learn more at https://t.co/AtorCB6nnR. https://t.co/I2UOE1KPaZ",0,330,vaccines safe effective recent authorization johnson amp johnson vaccine yet another tool along modern prize biotech vaccines help stop spread virus learn https https
"South African police have seized hundreds of fake COVID-19 vaccines and arrested four suspects in connection with the haul, the Interpol global police co-ordination agency said #NilePostNews #NBSUpdates https://t.co/bb1dlfdDgU",0,331,south african police seized hundreds fake vaccines arrested four suspects connection haul internal global police agency said nilepostnews nbsupdates https
"USA doing 2Million jabs each day of the effective Pfizer and Moderna vaccines. Australia doing around 5,000 each day. Austrlaia rolling out much the less effective AstraZenca vaccine. Thank goodness the Premiers have kept us safe. https://t.co/tcxtTEubFU",0,332,usa 2million jobs day effective prize modern vaccines australia around day australia rolling much less effective astrazenca vaccine thank goodness premiers kept us safe https
"South Korea said 18,489 people received their first doses of AstraZeneca PLC's vaccine by midnight on Friday as it launched an ambitious COVID-19 inoculation campaign, and will begin using Pfizer/BioNTech vaccines on Saturday.​ https://t.co/lNfdxyqTJG",0,333,south korea said people received first doses astrazeneca plc vaccine midnight friday launched ambitious insulation campaign begin using vaccines https
"New, evolving coronavirus variants that are potentially more infectious and may be resistant to Covid-19 vaccines are raising concerns about the ability to fight the virus https://t.co/V2G32QTfNh",0,334,new evolving coronavirus variants potentially infectious may resistant vaccines raising concerns ability fight virus https
"Spain: Second Pfizer COVID Shots Halted After 46 Deaths in One Nursing Home Following the First Shot. Moreover,there have been previous deaths in Norway and Gibraltar after taking the Pfizer vaccine. Now it's going to test another 4,000 pregnant women？ #Pfizer #COVIDVaccine https://t.co/gm62DPFz18",1,335,spain second prize covid shots halted 46 deaths one nursing home following first shot moreover previous deaths norway gibraltar taking prize vaccine going test another pregnant prize covidvaccine https
"Nigeria Covid-19 vaccine update. During first wave C-19 in Nigeria, some politicians hoarded palliatives meant for the poor and distributed same as birthday souvenirs. Now we are waiting patiently to see the politician that will hoard and distribute c-19 vaccines as souvenirs",1,336,nigeria vaccine update first wave nigeria politicians boarded palliatives meant poor distributed birthday souvenirs waiting patiently see politician hoard distribute vaccines souvenirs
"Here in New Jersey, nearly 1 million people are fully-vaccinated — which is a great step. That's about 1 in 7 NJ adults. These vaccines are safe, they're effective, and everyone who can should get the vaccine when it's available to you. https://t.co/eUwHglLPQs",0,337,new jersey nearly 1 million people great step 1 7 nj adults vaccines safe effective everyone get vaccine available https
"It's been one year since the first COVID-19 case was confirmed in Alabama. This morning on @waff48, we're looking back at the precautions and losses of the last year AND hope for the future. Hope like more Alabamians being eligible to get the vaccine soon! https://t.co/KiWXSbAMtd",0,338,one year since first case confirmed alabama morning faff48 looking back precautions losses last year hope future hope like alabamians eligible get vaccine soon https
"The Philippines has secured $900 million (P43.6 billion) in fresh loans from multilateral lenders for the procurement of safe and effective COVID-19 vaccines, a move critical to the country’s thrust toward economic recovery. https://t.co/MhqGMff6b7",0,339,philippines secured 900 million billion fresh loans multilateral lenders procurement safe effective vaccines move critical country thrust toward economic recovery https
AWESOME 🙌: All teachers and other school employees working in K-12 public schools in Santa Clara County have been offered the opportunity to get a vaccine https://t.co/cADEeyDPkd,0,340,awesome teachers school employees working public schools santa clara county offered opportunity get vaccine https
"On Friday, euroAtlantic flew with a @Boeing 777-200ER (CS-TFM) from Beijing to Libreville and transported 100.000 doses of Covid-19 vaccines, landing in the Capital of Gabon at 5:20pm local time. @BoeingAirplanes https://t.co/ixU5QMJbdX",0,341,friday euroatlantic flew boeing beijing libreville transported doses vaccines landing capital gaon local time boeingairplanes https
Memorial Hermann opens COVID-19 vaccines to Houstonians 50 and older https://t.co/INpcWk3h14,0,342,memorial herman opens vaccines houstonians 50 older https
"ADHS Director Dr. Cara Christ: Here's the ANTICIPATED rollout based on age for COVID-19 vaccines in Arizona: * Age 45 and up eligible by April 1. * Then 3-4 weeks later, age 35 and up would be eligible. * Age 16 and above would follow.",0,343,adds director cara christ anticipated rollout based age vaccines arizona age 45 eligible april 1 weeks later age 35 would eligible age 16 would follow
WATCH: Plenty of celebrating Friday as people got the coronavirus vaccine at a Philly clinic where fire department's paramedics and EMTs delivered the doses. @MiguelMValle spoke to some of the joyous people. https://t.co/ewfHb9tRar https://t.co/G6n6VZC6Mr,0,344,watch plenty celebrating friday people got coronavirus vaccine philly clinic fire department paramedics eats delivered doses miguelmvalle spoke joyous people https https
"I knew today was the day. Just over 11% of Iowans are now vaccinated and protected against COVID-19, either by two-dose or one-dose vaccines. We aren’t near herd immunity yet, so keep masking and distancing until everyone is protected! 😷💉❤️ https://t.co/Ga1hLWpjEf",0,345,knew today day 11 towns fascinated protected either vaccines near herd immunity yet keep masking distancing everyone protected https
"Though they're technically ineligible by state standards, some students scheduled and received COVID-19 vaccines Friday morning. https://t.co/Nnk3QJHyup",0,346,though technically ineligible state standards students scheduled received vaccines friday morning https
#C19 Vaccine Update ⬇ Seniors 80+ can book appointments to receive the #COVID19 vaccine. 📍ARC expected to open as a clinic end of March 🗓 Book: 💻Online https://t.co/YjcFiRhiPz ☎Call 1-888-444-5113 Learn more ➡ https://t.co/Z4MaHwSNGL #RollUpYourSleevesDurham https://t.co/d5OMvVBqrg,0,347,c19 vaccine update seniors book appointments receive covid19 vaccine expected open clinic end march book https learn https rollupyoursleevesdurham https
Montrealers 65 and above can now register for COVID-19 vaccines https://t.co/X2kPlDPFfU,0,348,montrealers 65 register vaccines https
We’re still learning how vaccines will affect the spread of COVID-19. Remember to protect yourself and others once you have been fully vaccinated. #Covid19 #coronavirus #vaccine #covidvaccine https://t.co/zV2tvzBMTz,0,349,still learning vaccines affect spread remember protect others fully fascinated covid19 coronavirus vaccine covidvaccine https
"🇧🇭🇨🇳#Bahrain's govt. received its urgently purchased #China's Sinopharm COVID-19 #vaccine on Friday. ✈️@GulfAir delivers the 300,000 #Sinopharm vaccines. It seems that vaccines cooperation btw China and Arabic countries goes very smooth. https://t.co/cv6WDHW6uH",0,350,bahrain govt received urgently purchased china sinopharm vaccine friday unfair delivers sinopharm vaccines seems vaccines cooperation btw china arabic countries goes smooth https
#CARIBBEAN: The Inter-American Development Bank has announced a first-of-its-kind instrument aimed at speeding up the rollout of COVID-19 vaccines in Latin America and the Caribbean by protecting manufacturers against lawsuits. https://t.co/RQGQ0Nb848,0,351,caribbean development bank announced instrument aimed speeding rollout vaccines latin america caribbean protecting manufacturers lawsuits https
"NEW: Over the past year, we've produced nearly 200 resources to help churches navigate the pandemic. We’ve produced articles about vaccines, potential threats to religious liberty, and creative ways to serve our neighbors. Here are some of the highlights: https://t.co/HpRq45W4WO",0,352,new past year produced nearly 200 resources help churches navigate pandemic produced articles vaccines potential threats religious liberty creative ways serve neighbors highlights https
Fighting fake Covid-19 vaccines with #blockchain - a blockchain-based system developed by Singapore-based Zuellig Pharma could help governments and healthcare providers weed out fake vaccines and manage vaccine distribution and administration: https://t.co/cc6MBt8Aea,0,353,fighting fake vaccines blockchain system developed zuellig pharma could help governments healthcare providers weed fake vaccines manage vaccine distribution administration https
